Website,Estimated lines per article,Estimated articles
cnet,18,124
gizmodo,15,605
techcrunch,21,866
theverge,8,1048
wired,19,303
bleacherreport,23,913
reuters_sport,13,1037
theguardian_sport,34,366
huffpost_politic,21,129
politico,18,702
reuters_world,11,1897
theatlantic_politic,18,689
etonline,10,844
huffpost_art,16,242
theatlantic_entertainment,17,599
theguardian_culture,11,756
usmagazine,12,232
vox_culture,23,474
abc,26,195
cnbc,9,1122
cnn,15,979
ibtimes,18,433
vox_business,20,510
,,15065
